Indice;Nom;NiveauDefense;NiveauProductivtié;CapitaleFaction;Faction;Productions possibles (indexes séparées par |)
0;Aetharia;2;3;0;0;				6|5|21		
1;Paethelion;2;3;0;0;			6|8
2;Ombre-Mer;2;2;0;0;			14|7
3;Öuntaria;1;1;0;0;				6|2
4;Hayord;2;3;0;0;				3|5|9
5;Etheiria;3;3;5;5;				2|8|6
6;Ombre-Terre;2;2;0;0;			14|7
7;Stalia;1;1;0;0;				6
8;Daratia;2;2;0;0;				14
9;Eauclair;2;2;0;0;				1|11|5
10;Forgecourt;1;1;0;0;			6|8			
11;Fal;2;3;0;0;					2|1
12;Langame;1;1;1;1;				3	
13;Num﻿aën;1;1;0;0;				6			
14;Her﻿aën;1;1;0;0;				14			
15;Narakzar;3;3;0;0;			1|16
16;Athiel;1;1;0;0;				11
17;Palaliel;3;3;3;3;			3|10|9
18;Xuryl;1;1;0;0;				3
19;Salenerune;2;2;0;0;			6|8			
20;Vidrava;3;3;4;4;				14|30|10
21;Dolgarok;3;3;0;0;			2|16
22;Dueröm;2;1;0;0;				2|5		
23;Kurir;3;3;8;8;				7|5|26		
24;Breewood;2;2;0;0;			9|3|5	
25;Boythorp;2;2;0;0;			7|14|5	
26;Wayhill;3;3;0;0;				15|12|24
27;Orwindon;1;1;0;0;			3	
28;Kinbuzir;2;2;0;0;			2|1|4	
29;Wildlyne;2;2;6;6;			2|5|16		
30;Evradhon;3;3;0;0;			2|16	
31;Ibeoes;2;2;0;0;				1|2
