Indice;Nom;NiveauDefense;NiveauProductivité;CapitaleFaction;Faction;Productions possibles (indexes séparées par |)
0;nainC;2;3;3;3;				9|3	
1;nain;1;2;0;0;					1|2	
2;nain;1;3;0;0;					3|11	
3;nain;1;3;0;0;					11|3	
4;neutre marais;1;2;0;0;		13	
5;elfe;1;2;0;0;					6|8	
6;neutre eau;1;2;0;0;			5|1	
7;homme;1;2;0;0;				2|13
8;elfe ;1;2;0;0;				6|
9;hommeC;2;3;7;7;				4|13
10;elfeC;2;3;5;5;				8|13
11;neutre montagne;1;2;0;0;		17	
12;homme marais;1;2;0;0;		12|11
13;neutre foret;1;2;0;0;		6	
14;homme foret;1;3;0;0;			6|11	
15;neutre colline;1;2;0;0;		30	
16;elfe foret;1;2;0;0;			6	
17;neutre colline;1;3;0;0;		30
18;neutre eau;1;2;0;0;			5|2
19;géant marais;1;3;0;0;		30|0	
20;géant eau;1;3;0;0;			30|5	
21;géant foret;1;2;0;0;			0	
22;géantC colline;2;3;2;2;		9|17	
